Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2013	HSA04210 APOPTOSIS	51/84	1.346379677315647e-07	2.35004452767822e-06	0	0	3.1847241432303672	50.38449003366166	TRADD;PIK3CB;TNF;PIK3CG;IKBKB;PPP3CA;CASP8;PPP3CC;AIFM1;CASP10;AKT2;AKT3;CAPN2;AKT1;CAPN1;IKBKG;PRKACA;PRKACB;DFFA;APAF1;CHUK;TRAF2;TNFRSF1A;PIK3CA;PRKAR1A;TP53;PIK3R2;CSF2RB;PIK3R1;RELA;IRAK1;IRAK2;PRKAR2B;PRKAR2A;RIPK1;FADD;BID;NTRK1;BAD;TNFRSF10B;TNFRSF10A;TNFRSF10D;NFKB2;NFKBIA;FAS;BAX;CYCS;ATM;MAP3K14;MYD88;BCL2L1
KEGG_2013	HSA05130 PATHOGENIC ESCHERICHIA COLI INFECTION EHEC	36/53	1.7099452859561661e-07	2.5254576531044915e-06	0	0	4.359002110503815	67.92037670060127	ITGB1;ROCK1;TUBAL3;ROCK2;WASL;CLDN1;ACTB;ACTG1;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBA3D;TUBA1A;TUBA3C;YWHAQ;TUBB3;TUBB1;ABL1;FYN;CD14;NCK1;TUBB;YWHAZ;RHOA;TUBA4A;TUBB2B;TUBB2A;KRT18;CTTN;NCL;CTNNB1;ARHGEF2;EZR;TUBA8
KEGG_2013	HSA05131 PATHOGENIC ESCHERICHIA COLI INFECTION EPEC	36/53	1.7099452859561661e-07	2.5254576531044915e-06	0	0	4.359002110503815	67.92037670060127	ITGB1;ROCK1;TUBAL3;ROCK2;WASL;CLDN1;ACTB;ACTG1;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBA3D;TUBA1A;TUBA3C;YWHAQ;TUBB3;TUBB1;ABL1;FYN;CD14;NCK1;TUBB;YWHAZ;RHOA;TUBA4A;TUBB2B;TUBB2A;KRT18;CTTN;NCL;CTNNB1;ARHGEF2;EZR;TUBA8
KEGG_2013	HSA04130 SNARE INTERACTIONS IN VESICULAR TRANSPORT	27/36	2.551122426395548e-07	3.4986821847710374e-06	0	0	6.170418006430868	93.67658489679572	SNAP25;STX12;STX17;STX16;GOSR2;STX18;GOSR1;SNAP23;STX10;STX6;VTI1A;STX5;STX4;STX2;YKT6;SNAP29;STX8;STX7;VAMP8;VAMP7;TSNARE1;SEC22B;VAMP4;VAMP5;VAMP2;VAMP3;BET1
KEGG_2013	HSA00020 CITRATE CYCLE	23/29	3.545079563303209e-07	4.537701841028108e-06	0	0	7.881356796735527	117.0581280447126	FH;MDH1;MDH2;IDH3G;IDH1;IDH2;DLST;OGDHL;SDHA;SDHB;CS;ACLY;PC;SUCLA2;IDH3B;OGDH;SUCLG2;SUCLG1;ACO1;ACO2;DLD;PCK2;IDH3A
KEGG_2013	HSA04530 TIGHT JUNCTION	73/136	3.806039171067622e-07	4.5672470052811466e-06	0	0	2.3905398293987346	35.33578024242176	RAB3B;PPP2R2A;CLDN1;ACTB;ACTG1;PPP2R1B;PPP2R1A;AKT2;AKT3;AKT1;HRAS;SPTAN1;MAGI1;ACTN3;CSNK2A1;ACTN2;ACTN1;MYH15;MAGI2;CSNK2A2;CASK;RRAS2;ACTN4;RHOA;MYH1;MYH2;CTTN;PARD3;CSNK2B;CLDN7;EXOC4;MYH8;MYH9;MYH4;LLGL1;MYH6;LLGL2;MYH7;EPB41;SRC;GNAI3;GNAI1;GNAI2;PPP2CA;PPP2CB;NRAS;PARD6B;RRAS;EPB41L1;EPB41L2;EPB41L3;MYH13;CTNNA1;MYH14;SYMPK;MYH11;CTNNA3;CTNNA2;MYH10;MPDZ;YES1;PPP2R3B;CGN;PPP2R3A;TJAP1;TJP1;VAPA;PPP2R2C;CDK4;RAB13;CTNNB1;TJP3;TJP2
KEGG_2013	HSA05211 RENAL CELL CARCINOMA	42/69	1.5361771173519436e-06	1.734976509009254e-05	0	0	3.202544164790942	42.869940314527575	FH;CUL2;ARAF;SLC2A1;PIK3R2;PIK3CB;PIK3R1;HIF1A;PIK3CG;CRKL;RAP1B;FLCN;NRAS;RAP1A;AKT2;AKT3;AKT1;EP300;MAPK1;RAC1;VHL;HRAS;PAK2;PAK4;MAPK3;EGLN1;ARNT2;MAP2K1;TGFB2;JUN;CREBBP;MAP2K2;TGFB1;VEGFB;ARNT;PTPN11;RBX1;PIK3CA;GRB2;RAF1;MET;CRK
KEGG_2013	HSA05221 ACUTE MYELOID LEUKEMIA	34/53	2.807170398174728e-06	2.9943150913863764e-05	0	0	3.681806447449095	47.065759912624266	CEBPA;ARAF;PIK3CB;PIK3CG;RELA;IKBKB;NRAS;CCND1;MYC;AKT2;AKT3;PIM1;AKT1;MAPK1;IKBKG;HRAS;MAPK3;TCF7L2;MAP2K1;TCF7L1;MAP2K2;CHUK;JUP;BAD;ZBTB16;STAT3;PML;RUNX1;NFKB2;CCNA1;PIK3CA;RARA;GRB2;RAF1
KEGG_2013	HSA04510 FOCAL ADHESION	96/200	5.220764599927799e-06	5.275720016769143e-05	0	0	1.9052924791086352	23.17381843212399	ITGB1;GSK3B;LAMC3;ITGB4;ITGB3;LAMC2;PIK3CB;LAMC1;ACTB;PIK3CG;CRKL;MYLK;ACTG1;PPP1CB;PPP1CC;CCND3;CCND1;AKT2;AKT3;RAC2;CAPN2;AKT1;RAC3;RAC1;HRAS;PDGFRB;MAP2K1;PPP1R12A;ACTN3;ITGA4;VWF;ACTN2;ITGA3;ACTN1;ACTN4;RHOA;COL2A1;COL4A2;PIK3CA;COL4A4;COL6A2;COL6A1;COL6A3;ITGA6;RAF1;DOCK1;MET;CRK;LAMA5;ROCK1;LAMA2;SHC1;ROCK2;SRC;LAMA1;COL11A1;COL11A2;PXN;LAMA3;PIK3R2;PIK3R1;THBS1;EGFR;RAP1B;VTN;MAPK9;RAP1A;ERBB2;FLNA;MAPK1;FLNB;FYN;FLNC;PAK2;PAK4;MAPK3;JUN;CAV3;LAMB3;CAV2;BAD;LAMB2;CAV1;FN1;VEGFB;LAMB1;PPP1CA;COL1A1;DIAPH1;COL1A2;PARVG;COL5A1;ZYX;CTNNB1;GRB2;BCAR1
KEGG_2013	HSA05213 ENDOMETRIAL CANCER	33/52	5.559912346793626e-06	5.337515852921881e-05	0	0	3.5729703569268	43.232684832391264	GSK3B;ARAF;PIK3R2;PIK3CB;PIK3R1;PIK3CG;EGFR;NRAS;CCND1;MYC;AKT2;AKT3;ERBB2;CTNNA1;AKT1;MAPK1;CTNNA3;CTNNA2;HRAS;MAPK3;TCF7L2;MAP2K1;TCF7L1;MAP2K2;BAD;AXIN1;MLH1;PIK3CA;APC;CTNNB1;GRB2;RAF1;TP53
KEGG_2013	HSA00310 LYSINE DEGRADATION	30/47	1.2498621881731784e-05	0.000114273114347262	0	0	3.629163062283737	40.972859637610334	GCDH;SHMT2;EHMT2;EHMT1;DLST;HSD17B4;PLOD3;PLOD2;OGDHL;PLOD1;HSD17B10;ACAT1;ALDH1B1;ALDH2;RDH12;RDH11;RDH14;RDH13;HADH;AASS;AASDHPPT;SETD1A;ALDH3A2;SPCS3;HADHA;SPCS1;EHHADH;OGDH;ALDH7A1;ALDH9A1
KEGG_2013	HSA05040 HUNTINGTONS DISEASE	22/31	1.5128085565330247e-05	0.0001320269285701549	0	0	5.02390180878553	55.760073014239936	CREBBP;DCTN1;CLTC;CLTB;HTT;CLTA;CASP8;NCOR1;CBS;RASA1;CLTCL1;CASP1;EP300;BAX;GRB2;CALM3;CALM1;UBE2K;CALM2;GAPDH;TP53;TGM2
KEGG_2013	HSA00100 BIOSYNTHESIS OF STEROIDS	18/24	2.7674908418291097e-05	0.00023102532244834303	0	0	6.163302752293578	64.6837661672934	VKORC1;NQO1;IDI1;MVK;IDI2;CYP51A1;DHCR24;HMGCR;LSS;TM7SF2;SQLE;CYP27B1;EBP;NSDHL;GGCX;PMVK;DHCR7;FDFT1
KEGG_2013	HSA04120 UBIQUITIN MEDIATED PROTEOLYSIS	26/40	2.9714489707017803e-05	0.0002330159185971884	0	0	3.817776222552708	39.79602503177756	CUL3;UBE2D3;CUL2;CUL1;ANAPC10;CDC20;FZR1;CDC23;CDC27;VHL;BTRC;SKP2;SKP1;SMURF2;FBXW7;UBE2C;FBXW11;WWP1;WWP2;RBX1;ITCH;CDC16;ANAPC5;UBA1;ANAPC1;ANAPC2
KEGG_2013	HSA00240 PYRIMIDINE METABOLISM	48/89	3.034061440067557e-05	0.0002330159185971884	0	0	2.4099808924356525	25.071087457857	CDA;PRIM2;DTYMK;CANT1;PRIM1;TYMS;NT5C2;POLD3;POLR2A;POLR2B;POLD1;POLR2C;POLR2D;POLR2E;TK2;POLR2G;UPP1;POLR2H;POLR2I;POLE;POLR2J;POLR2K;POLR2L;RFC5;DUT;RRM2;ENTPD4;POLR3GL;TXNRD1;ENTPD6;CAD;NME2;CTPS2;NME4;NME1;POLE4;POLA1;POLA2;UCK2;POLR3A;UCK1;NME6;POLR1A;POLR1B;POLR1C;POLE3;UMPS;ITPA
KEGG_2013	HSA00650 BUTANOATE METABOLISM	28/45	4.807919232993634e-05	0.0003550463433595299	0	0	3.3861814250968383	33.6676542188762	HSD17B4;ABAT;PDHB;HSD17B10;ACAT1;ALDH1B1;ALDH2;RDH12;PPME1;RDH11;RDH14;HMGCS2;RDH13;HADH;ACADS;PDHA1;HMGCS1;DDHD1;PRDX6;ALDH3A2;HADHA;ALDH5A1;AADAC;ILVBL;EHHADH;L2HGDH;ALDH7A1;ALDH9A1
KEGG_2013	HSA04310 WNT SIGNALING PATHWAY	72/149	5.6677968286063695e-05	0.00038916060871023	0	0	1.9267873661953216	18.840367694125597	GSK3B;CHD8;PPP2R2A;FZD10;PPP3CA;CCND3;PPP3CC;CCND1;PPP2R1B;PPP2R1A;MYC;RUVBL1;RAC2;EP300;RAC3;RAC1;BTRC;PRKACA;MAP3K7;PRKACB;SKP1;CSNK2A1;FBXW11;CTNNBIP1;WNT5A;CSNK2A2;AXIN1;CACYBP;SENP2;RHOA;RBX1;SFRP4;SFRP1;TBL1XR1;DAAM2;CSNK2B;TP53;CAMK2B;NFAT5;CAMK2D;CTBP2;ROCK1;CTBP1;ROCK2;CUL1;LRP5;WNT8A;PSEN1;PPP2CA;PPP2CB;MAPK9;DVL1;DVL2;DVL3;SMAD2;TCF7L2;CREBBP;SMAD4;JUN;TCF7L1;SMAD3;FZD2;CSNK1A1;FZD7;SIAH1;FZD6;NFATC4;VANGL1;VANGL2;APC;PPP2R2C;CTNNB1
KEGG_2013	HSA05223 NON SMALL CELL LUNG CANCER	32/54	5.675258877024188e-05	0.00038916060871023	0	0	2.9911124731841863	29.24353620194086	RB1;ARAF;PIK3R2;PIK3CB;PIK3R1;STK4;PIK3CG;EGFR;NRAS;RXRA;CCND1;AKT2;AKT3;ERBB2;E2F1;AKT1;E2F2;MAPK1;E2F3;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;CDKN2A;CDK6;PIK3CA;CDK4;RARB;GRB2;RAF1;TP53
KEGG_2013	HSA05214 GLIOMA	36/64	9.218498407856096e-05	0.0006103281704511623	0	0	2.644368510973847	24.570714071856575	RB1;CAMK2B;CDKN1A;CAMK2D;SHC1;ARAF;PIK3R2;PIK3CB;PIK3R1;PIK3CG;EGFR;NRAS;CCND1;AKT2;AKT3;E2F1;AKT1;E2F2;MAPK1;E2F3;HRAS;MAPK3;PDGFRB;MAP2K1;MAP2K2;CDKN2A;CDK6;PIK3CA;CDK4;MDM2;CALM3;GRB2;RAF1;CALM1;TP53;CALM2
KEGG_2013	HSA04610 COMPLEMENT AND COAGULATION CASCADES	38/69	0.00010996805750230615	0.0007037955680147595	0	0	2.5213635464080744	22.98303712681649	C1QB;C1QA;SERPINA1;CFH;SERPINC1;PROS1;SERPINE1;CFI;F13A1;C4BPA;PLAT;PLG;C4BPB;KNG1;C2;C4B;C3;C4A;C5;C7;PLAU;BDKRB2;A2M;MBL2;FGB;FGA;VWF;SERPIND1;F12;FGG;F2R;F2;F5;F9;SERPING1;MASP2;KLKB1;C1QC
KEGG_2013	HSA00640 PROPANOATE METABOLISM	22/34	0.00013523406566726424	0.0008375787292940237	0	0	3.767084863321093	33.55908854314848	ABAT;ACACB;ACACA;ACAT1;LDHC;ALDH3A2;LDHB;HADHA;LDHA;SUCLA2;ALDH1B1;ALDH2;PCCA;EHHADH;PCCB;SUCLG2;SUCLG1;ACADM;ACSS1;ALDH7A1;LDHAL6A;ALDH9A1
KEGG_2013	HSA04910 INSULIN SIGNALING PATHWAY	65/135	0.0001448707389125382	0.0008692244334752293	0	0	1.912345162922708	16.904497620814727	GSK3B;PYGB;IRS1;PDE3B;ARAF;PYGM;SLC2A4;PIK3CB;PTPRF;PIK3CG;CRKL;PPP1CB;IKBKB;PPP1CC;LIPE;GYS1;AKT2;AKT3;FLOT1;AKT1;PRKACA;PRKACB;HRAS;SREBF1;PRKAB2;MAP2K1;MAP2K2;EXOC7;RPS6;TSC2;PIK3CA;PRKAR1A;RAF1;CRK;PRKAA1;PRKAA2;SHC1;PIK3R2;PIK3R1;CBL;ACACB;ACACA;INS;MAPK9;NRAS;SOCS1;PRKAR2B;PRKAR2A;MAPK1;PCK2;MAPK3;PTPN1;BAD;SORBS1;PPP1CA;PFKL;RHEB;FASN;PDE3A;CALM3;GRB2;CALM1;CALM2;PFKM;PFKP
KEGG_2013	HSA05010 ALZHEIMERS DISEASE	19/28	0.00015264535210498268	0.000888118412247172	0	0	4.3368336986627245	38.10946333175723	C1QB;APP;C1QA;GSK3B;LRP1;PSEN2;IDE;PSEN1;TNF;HSD17B10;APH1A;BACE2;NCSTN;APBB1;APOE;A2M;GAPDH;SNCA;C1QC
KEGG_2013	HSA04810 REGULATION OF ACTIN CYTOSKELETON	95/212	0.0001627173690365663	0.0009188745545594332	0	0	1.6740591744459916	14.603648167938498	CHRM2;ITGB1;ITGB4;ARPC1B;ITGB3;ITGB2;ARAF;WASL;PIK3CB;ITGAL;PIK3CG;CRKL;MYLK;PPP1CB;PPP1CC;FGF7;TMSB4X;CFL2;CFL1;RAC2;BDKRB2;PIP4K2A;RAC3;PIP4K2B;PIP4K2C;RAC1;HRAS;PDGFRB;MAP2K1;MAP2K2;ARHGEF12;PPP1R12A;ACTN3;ITGA4;ACTN2;ITGA3;ACTN1;F2R;RRAS2;ACTN4;F2;RHOA;TIAM1;PIK3CA;MYH9;ITGA6;PFN1;EZR;ARHGEF7;RAF1;PPP1R12B;DOCK1;CRK;PFN2;ARHGEF6;ROCK1;ROCK2;PXN;PIK3R2;PIK3R1;IQGAP1;IQGAP2;FGD1;EGFR;SLC9A1;INS;GNA13;NRAS;RRAS;GNA12;MYH14;MAPK1;CD14;WASF1;PAK2;MYH10;PAK4;MAPK3;GSN;RDX;FN1;MSN;ARPC4;PPP1CA;MOS;DIAPH1;DIAPH2;ARPC2;APC;ARPC3;FGFR4;FGF12;BCAR1;FGFR1;FGF10
KEGG_2013	HSA04620 TOLL LIKE RECEPTOR SIGNALING PATHWAY	51/102	0.0002285346827768787	0.0012536759740903	0	0	2.057937605655448	17.253383755343688	IFNA4;CD40;IFNA6;IFNA2;PIK3CB;TNF;PIK3CG;IKBKB;TBK1;CASP8;AKT2;AKT3;AKT1;RAC1;IKBKG;MAP3K7;IKBKE;MAP2K3;MAP2K4;MAP2K1;IFNA14;MAP2K2;CHUK;IFNA17;FOS;PIK3CA;IRF3;TRAF3;TRAF6;IRF7;TLR7;IFNA10;TLR2;PIK3R2;PIK3R1;RELA;MAPK9;IRAK1;MAPK1;RIPK1;CD14;FADD;MAP2K7;MAP2K6;MAPK3;JUN;STAT1;NFKB2;NFKBIA;TOLLIP;MYD88
KEGG_2013	HSA05216 THYROID CANCER	19/29	0.0003066309722507271	0.0016353651853372	0	0	3.902859764489983	31.57361086528259	NTRK1;TCF7L2;TCF7L1;MAP2K1;MAP2K2;TPM3;NCOA4;NRAS;RXRA;CCND1;TFG;MYC;TPR;MAPK1;CTNNB1;PPARG;HRAS;TP53;MAPK3
KEGG_2013	HSA03020 RNA POLYMERASE	16/23	0.0003332583121977656	0.001729340430864	0	0	4.694064724636415	37.583464152881625	POLR3GL;POLR3A;POLR2A;POLR2B;POLR1A;POLR1B;POLR2C;POLR1C;POLR2D;POLR2E;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L
KEGG_2013	HSA00720 REDUCTIVE CARBOXYLATE CYCLE	10/12	0.0004661468944368344	0.0023552685192597	0	0	10.262675626145388	78.72508478306979	ACLY;FH;SUCLA2;MDH1;MDH2;IDH1;IDH2;ACO1;ACO2;ACSS1
KEGG_2013	HSA04150 MTOR SIGNALING PATHWAY	27/48	0.0006783824899677379	0.0033397291813796	0	0	2.642102500164053	19.276249530532468	PRKAA1;PRKAA2;CAB39;PIK3R2;PIK3CB;PIK3R1;HIF1A;PIK3CG;INS;RPS6KA3;RPS6KA6;RPS6KA2;AKT2;RPS6KA1;AKT3;AKT1;MAPK1;RICTOR;EIF4B;MAPK3;RPS6;VEGFB;TSC2;PIK3CA;RHEB;DDIT4;ULK2
KEGG_2013	HSA00280 VALINE LEUCINE AND ISOLEUCINE DEGRADATION	25/44	0.0008704813249876275	0.0040764003511615	0	0	2.7034811120868145	19.04998301278571	HIBADH;HSD17B4;ABAT;HSD17B10;ACAT1;ALDH1B1;ALDH2;HMGCS2;ACADM;HADH;ACADS;BCKDHA;MCCC2;HMGCS1;BCKDHB;MCCC1;HADHB;ALDH3A2;HADHA;PCCA;EHHADH;PCCB;ALDH7A1;DLD;ALDH9A1
KEGG_2013	HSA02010 ABC TRANSPORTERS GENERAL	25/44	0.0008704813249876275	0.0040764003511615	0	0	2.7034811120868145	19.04998301278571	ABCD4;ABCD2;ABCD3;ABCB6;ABCB7;ABCB8;ABCA12;ABCC10;ABCA13;ABCD1;ABCA1;ABCC3;ABCC4;ABCG8;ABCC1;ABCC2;ABCA4;ABCC6;TAP2;ABCA9;TAP1;ABCA7;ABCC9;ABCB10;ABCG2
KEGG_2013	HSA04012 ERBB SIGNALING PATHWAY	43/87	0.0009280395891613174	0.0042424666933088	0	0	2.0097467382962395	14.03292830868158	CAMK2B;GSK3B;CDKN1A;CAMK2D;CDKN1B;SHC1;SRC;ARAF;PIK3R2;PIK3CB;PIK3R1;CBL;AREG;PIK3CG;EGFR;CRKL;MAPK9;NRAS;ERBB3;ERBB4;MYC;AKT2;AKT3;ERBB2;ABL1;AKT1;MAPK1;MAP2K7;HRAS;PAK2;NCK1;PAK4;MAPK3;MAP2K4;MAP2K1;JUN;MAP2K2;BAD;NRG1;PIK3CA;GRB2;RAF1;CRK
KEGG_2013	HSA00510 N GLYCAN BIOSYNTHESIS	24/42	0.000984456666139578	0.0042958109067908	0	0	2.739312315069891	18.9654115228169	DPAGT1;B4GALT3;ALG8;ST6GAL1;B4GALT1;RPN2;ALG6;RPN1;ALG5;ALG14;ALG13;ALG1;ALG11;DDOST;DPM1;FUT8;GANAB;MAN2A1;DAD1;MGAT5;RFT1;MGAT2;MAN1B1;STT3B
KEGG_2013	HSA05219 BLADDER CANCER	24/42	0.000984456666139578	0.0042958109067908	0	0	2.739312315069891	18.9654115228169	RB1;CDKN1A;MAP2K1;MAP2K2;CDKN2A;DAPK1;ARAF;VEGFB;THBS1;EGFR;NRAS;CCND1;CDK4;MYC;ERBB2;E2F1;MDM2;E2F2;MAPK1;E2F3;RAF1;HRAS;TP53;MAPK3
KEGG_2013	HSA04350 TGF BETA SIGNALING PATHWAY	44/90	0.001084868430969	0.0046287719721347	0	0	1.9670809360441055	13.427877829166835	BMPR2;ROCK1;ROCK2;CUL1;PPP2R2A;ACVR1B;TNF;THBS1;LTBP1;PPP2CA;PPP2CB;PPP2R1B;PPP2R1A;MYC;EP300;MAPK1;E2F4;PITX2;E2F5;SKP1;MAPK3;ACVR1;SMAD2;TGFB2;CREBBP;SMAD4;TGFB1;SMAD3;SMURF2;GDF5;RHOA;TGFBR1;ACVR2A;TGFBR2;RBX1;INHBE;RBL2;RBL1;ZFYVE16;TFDP1;PPP2R2C;SP1;BMPR1B;BMPR1A
